nodo_partenza,nodo_arrivo,peso_arco
0,1,13
1,2,43
2,3,5
3,4,31
4,5,22
5,6,33
6,7,47
7,8,4
8,9,7
9,10,19
10,11,16
11,12,32
12,13,7
13,14,1
14,15,44
15,16,47
16,17,1
17,18,24
18,19,32
19,20,46
20,21,46
21,22,26
22,23,10
23,24,39
24,25,15
25,26,38
26,27,4
27,28,14
28,29,8
29,30,8
30,31,43
31,32,19
32,33,34
33,34,38
34,35,3
35,36,43
36,37,49
37,38,5
38,39,36
39,40,5
40,41,49
41,42,19
42,43,46
43,44,25
44,45,12
45,46,11
46,47,15
47,48,7
48,49,6
49,50,5
50,51,42
51,52,36
52,53,14
53,54,11
54,55,17
55,56,41
56,57,31
57,58,16
58,59,22
59,60,34
60,61,6
61,62,16
62,63,9
63,64,25
64,65,38
65,66,22
66,67,36
67,68,32
68,69,50
69,70,22
70,71,15
71,72,40
72,73,33
73,74,23
74,75,30
75,76,46
76,77,6
77,78,41
78,79,40
79,80,30
80,81,1
81,82,50
82,83,49
83,84,19
84,85,22
85,86,13
86,87,17
87,88,33
88,89,7
89,90,10
90,91,17
91,92,50
92,93,45
93,94,27
94,95,47
95,96,26
96,97,4
97,98,32
98,99,38
