nodo_partenza,nodo_arrivo,peso_arco
0,1,49
0,1,32
0,2,1
0,3,10
0,5,5
0,12,0
0,13,14
0,15,32
0,17,45
0,18,44
0,27,27
0,33,1
0,34,14
0,39,33
0,50,16
0,54,13
0,65,46
0,66,38
0,76,5
0,80,23
0,83,16
0,94,23
0,99,25
0,101,40
0,108,14
0,164,9
0,181,26
0,203,16
0,229,10
0,236,30
1,2,19
1,3,29
1,4,46
1,6,49
1,7,40
1,10,7
1,11,14
1,15,24
1,16,31
1,25,30
1,31,48
1,32,40
1,35,3
1,38,49
1,46,10
1,63,32
1,75,13
1,79,43
1,84,41
1,89,24
1,92,37
1,98,23
1,106,7
1,114,44
1,117,47
1,133,32
1,138,40
1,150,39
1,168,36
1,172,1
1,189,6
1,197,2
1,215,31
1,217,50
1,221,31
1,243,17
1,248,17
2,6,32
2,7,35
2,8,48
2,23,24
2,44,22
2,57,13
2,59,5
2,62,33
2,63,9
2,68,14
2,71,46
2,73,42
2,75,42
2,82,11
2,123,35
2,128,9
2,131,39
2,137,31
2,139,9
2,148,2
2,155,45
2,180,46
2,182,24
2,200,14
2,244,32
2,245,11
3,4,7
3,5,26
3,9,31
3,21,43
3,24,20
3,27,42
3,32,4
3,35,30
3,37,3
3,42,3
3,55,39
3,64,32
3,70,31
3,86,37
3,87,4
3,92,40
3,96,29
3,106,5
3,109,17
3,136,32
3,139,37
3,140,34
3,142,37
3,171,8
3,173,31
3,208,23
4,11,29
4,14,7
4,20,22
4,28,29
4,31,16
4,43,19
4,69,1
4,170,37
4,181,0
4,182,16
4,209,2
5,9,1
5,19,6
5,25,33
5,26,9
5,37,35
5,41,0
5,45,14
5,77,44
5,122,29
5,155,50
5,162,6
5,171,38
5,203,7
5,218,12
5,224,12
6,13,40
6,55,44
6,60,17
6,135,15
6,160,10
6,231,38
7,8,46
7,33,7
7,67,16
7,121,50
7,129,13
7,207,36
7,237,17
8,10,4
8,12,32
8,16,40
8,17,8
8,19,32
8,26,41
8,30,16
